anio,n_empresas,exposicion,siniestros_evitados_point,siniestros_evitados_valor_lo,siniestros_evitados_valor_hi,costo_observado,valor_p25_point,valor_p25_lo,valor_p25_hi,valor_median_point,valor_median_lo,valor_median_hi,valor_mean_point,valor_mean_lo,valor_mean_hi,valor_p75_point,valor_p75_lo,valor_p75_hi
2019,454,25745.0,110.27049563123293,43.96190283293435,176.57908842953154,3211183782.0,77810417.94088207,31020936.41028484,124599899.47147931,146951204.10949314,58585522.07699013,235316886.1419962,332493715.82364655,132556368.2644799,532431063.3828132,320428334.32219017,127746222.75662683,513110445.8877536
2020,893,49679.0,212.7841504161593,84.83136029665354,340.73694053566504,5371873890.0,150147358.82249293,59859743.63668831,240434974.00829753,283565308.56304175,113049918.47981326,454080698.6462703,641598574.8068726,255788223.69435218,1027408925.9193931,618316536.0571795,246506296.3809075,990126775.7334515
2021,1362,73264.0,313.80297502142747,125.10486887364934,502.5010811692056,6281016793.0,221429499.32106367,88278030.10926814,354580968.53285915,418187338.0414802,166720127.77038667,669654548.3125737,946196138.9047831,377223140.9799517,1515169136.8296144,911861001.5840335,363534638.3391535,1460187364.8289135
2022,1802,97573.0,417.92282269280605,166.61467256235787,669.2309728232542,8658901166.0,294899821.70307577,117568686.28318985,472230957.1229617,556941924.2018092,222037877.08751827,891845971.3161,1260144079.7848384,502385803.87143517,2017902355.6982417,1214416541.6515465,484155455.15759754,1944677628.1454954
2023,1802,97573.0,417.92282269280605,166.61467256235787,669.2309728232542,11815820559.0,294899821.70307577,117568686.28318985,472230957.1229617,556941924.2018092,222037877.08751827,891845971.3161,1260144079.7848384,502385803.87143517,2017902355.6982417,1214416541.6515465,484155455.15759754,1944677628.1454954
2024,1802,97573.0,417.92282269280605,166.61467256235787,669.2309728232542,9460668621.0,294899821.70307577,117568686.28318985,472230957.1229617,556941924.2018092,222037877.08751827,891845971.3161,1260144079.7848384,502385803.87143517,2017902355.6982417,1214416541.6515465,484155455.15759754,1944677628.1454954
