type,att,se,ci_low,ci_high,z,significant_95,spec,yname,control_group,n_obs,n_firms,n_treated,att_vs_main
simple,-0.4283181030539248,0.13140770904256938,-0.6858772127773608,-0.17075899333048883,-3.259459480533,1,principal_never_treated,frecuencia_x100,nevertreated,35000,5000,1802,0.0
simple,-0.45153359117417474,0.13540176505418372,-0.7169210506803748,-0.18614613166797467,-3.334768870948503,1,excluir_anio_2020,frecuencia_x100,nevertreated,30000,5000,1802,-0.023215488120249927
simple,-0.4359853672959907,0.13514678348884437,-0.7008730629341257,-0.17109767165785572,-3.2260136426552757,1,not_yet_treated,frecuencia_x100,notyettreated,35000,5000,1802,-0.007667264242065874
simple,6422.753738772926,12034.804154079573,-17165.462403223035,30010.96988076889,0.5336816167960434,0,outcome_costo_por_trab,costo_por_trab,nevertreated,35000,5000,1802,
