anio_prev,anio_eval,es_evaluacion_principal,regla,n,n_positivos_true,n_positivos_pred,tp,fp,fn,tn,auc_roc,recall,precision,f1,specificity,accuracy
2018,2019,False,top10_anio_previo,5000,500,500,251,249,249,4251,0.7233333333333333,0.502,0.502,0.502,0.9446666666666667,0.9004
2019,2020,False,top10_anio_previo,5000,500,500,256,244,244,4256,0.728888888888889,0.512,0.512,0.512,0.9457777777777778,0.9024
2020,2021,False,top10_anio_previo,5000,500,500,253,247,247,4253,0.7255555555555556,0.506,0.506,0.506,0.9451111111111111,0.9012
2021,2022,False,top10_anio_previo,5000,500,500,235,265,265,4235,0.7055555555555555,0.47,0.47,0.47,0.9411111111111111,0.894
2022,2023,False,top10_anio_previo,5000,500,500,242,258,258,4242,0.7133333333333334,0.484,0.484,0.484,0.9426666666666667,0.8968
2023,2024,True,top10_anio_previo,5000,500,500,266,234,234,4266,0.7399999999999999,0.532,0.532,0.532,0.948,0.9064
