modelo,n_train_a,n_train_b,n_train_c,pct_n_perdido_listwise,aic_a,aic_b,aic_c,holdout_metric,holdout_a,holdout_b,holdout_c,mejor_escenario_holdout,mediana_abs_sesgo_rel_a_vs_b_pct,mediana_ratio_ee_a_vs_b,recomendacion
frecuencia_NB,3372,4000,4000,15.7,16273.447513479741,19190.974462565733,19194.885867273955,rmse,6.428764947222296,6.398068682045835,6.39597880009055,b_imputado,5.276,1.572,Preferir imputado (b): listwise pierde muestra y puede sesgar coeficientes bajo MAR. Flags (c) inocuos/innecesarios.
severidad_lognormal_dias,30605,31915,31915,4.1,69964.61907114304,72930.91120907801,72931.40879062732,rmse_log,0.7656689805802598,0.7656506517503029,0.7656491607527063,b_imputado,0.167,1.021,Impacto moderado; preferir imputación (b) por tamaño muestral. Flags (c) innecesarios.
costo_lognormal_asistencial,29883,31915,31915,6.37,83454.14608440618,89131.25886099544,89133.20448782513,rmse_log,0.9809363917746892,0.9809415595830548,0.9809315671305546,b_imputado,0.937,1.041,Impacto moderado; preferir imputación (b) por tamaño muestral. Flags (c) innecesarios.
