escenario,anio_proyeccion,primas_devengadas,siniestralidad_esperada,n_siniestros_esperados,loss_ratio,expense_ratio,combined_ratio,resultado_tecnico,shock_siniestralidad,descripcion
base,2025,28762350472.190002,15863934453.410782,5282.332007012768,0.5515520878152654,0.25,0.8015520878152654,5707828400.73172,0.0,Punto del modelo 3.2.1 (pure premium) + ER operativo 25%
adverso,2025,28762350472.190002,21582602094.451008,5282.332007012768,0.7503768551641489,0.27,1.020376855164149,-586086249.7523069,0.3604823039224485,Siniestralidad ×(1+máx YoY histórico=36.0%); ER=27%
