fuente,n_boot,metrica,p05,p10,p50,p90,p95,mean,std
modelo_bootstrap_residuos,5000,siniestralidad,14930434905.52534,15162309931.853277,16067494340.11122,17087980168.351313,17383829322.59682,16113864849.34143,752011655.4346304
proceso_yoy_historico,5000,siniestralidad,9628706723.954817,11043981467.523542,15849360606.143196,20682927118.508644,21990709903.07814,15872846354.124168,3775840461.0663815
combinada_modelo_proceso,5000,siniestralidad,9838348545.11785,11182033402.678867,16058071158.796291,21159298789.32571,22593595254.197865,16123456488.05923,3919471075.736267
combinada_modelo_proceso,5000,loss_ratio,0.3420564864693669,0.3887732824023076,0.5583017693328876,0.735659584211812,0.7855267348905772,0.5605750650889546,0.13627088924898403
combinada_modelo_proceso,5000,combined_ratio,0.5920564864693669,0.6387732824023076,0.8083017693328876,0.985659584211812,1.035526734890577,0.8105750650889546,0.13627088924898403
