pregunta,descripcion,h0,h1,prueba,estadistico,p_valor,efecto,metrica_efecto,decision,relevancia_practica,p_valor_ajustado_holm,rechaza_h0_ajustado
P3,Diferencias de frecuencia entre clases de riesgo,Distribuciones de frecuencia_x100 iguales en las 5 clases,Al menos una clase difiere (y pares adyacentes son distinguibles),Kruskal-Wallis + Dunn post-hoc Holm,2649.3326,0.0,0.5296,η² K-W,RECHAZAR H0,η²=0.530 (grande); 10/10 pares distinguibles; adyacentes todas sig.,0.0,True
P5,Interacción sector × clase sobre frecuencia,Modelo aditivo suficiente (sin interacción sector×clase),Interacción sector×clase aporta señal incremental,LR GLM Poisson (clase ordinal + sector + interacciones),30.1743,0.007221061829845748,0.00116,Pseudo-R² McFadden incremental,RECHAZAR H0,Pseudo-R²=0.0012; η² clase-dentro-sector mediana=0.190,0.007221061829845748,True
P7,Microempresas con mayor frecuencia relativa,frecuencia_x100 Micro = resto de segmentos,frecuencia_x100 Micro > resto (1-cola),Mann-Whitney U (1-cola) + K-W 4 segmentos + Dunn Holm,1649069.5,4.486474732558794e-24,0.2529,Cliff's delta (δ),RECHAZAR H0,δ=0.253 (mediano); ratio medianas=1.72×,8.972949465117588e-24,True
P9,Persistencia conteo siniestros t→t+1,"ρ_Spearman(n_t, n_t1) = 0",ρ_Spearman > 0,Spearman (1-cola) global + por año con Holm,0.4363,0.0,0.4363,ρ Spearman (efecto = estadístico),RECHAZAR H0,ρ=0.436 (asociación fuerte); Pearson r=0.696; 6/6 años rechazan H0 tras Holm,0.0,True
P10,Retención Top 10% superior al azar,p_retencion = 0.10 (azar),p_retencion > 0.10,Binomial exacta (1-cola) global + por año con Holm,0.501,0.0,5.01,Lift (p_obs/0.10) + Cohen h,RECHAZAR H0,"retención=50.1%, lift=5.0×, Cohen h=0.93; 6/6 años significativos tras Holm",0.0,True
