pregunta,descripcion,h0,h1,prueba,estadistico,p_valor,efecto,metrica_efecto,decision,relevancia_practica,p_valor_ajustado_holm,rechaza_h0_ajustado
P8,Estacionalidad mensual del volumen de siniestros,No hay diferencias sistemáticas de volumen entre meses,Al menos un mes difiere (estacionalidad presente),Friedman + K-W + chi2 uniformidad,2.8686,0.9923507663115819,3.8201,amplitud índice estacional (pp) + Kendall W + Cramér V,No rechazar H0,amplitud=3.8 pp (despreciable); W=0.037; V=0.003 → no invertir en features de mes,0.9923507663115819,False
P11,Diferencias de frecuencia entre departamentos,Distribuciones de frecuencia_x100 iguales entre departamentos,Al menos un departamento difiere,Kruskal-Wallis + Dunn post-hoc Holm,13.3971,0.03714640680901954,0.001551,η² K-W + rango de medianas,RECHAZAR H0,η²=0.0016 (despreciable); rango medianas=2.9 pts; 0/21 pares Dunn → descartar geografía como predictor principal,0.07429281361803908,False
P12,Bondad de ajuste Normal/Lognormal de log(costo),log(costo_total_w) ~ Normal (costo ~ Lognormal),log(costo) se desvía de la Normal,Anderson-Darling + KS + Jarque-Bera + AIC Gamma vs Lognormal,1059.0265,1.0847322160595877e-230,0.4114,skewness log + ΔAIC Gamma−Lognormal,RECHAZAR H0,"skew=0.41 (leve); AIC prefiere Lognormal (Δ=11,257); Normal exacta rechazada por n grande, pero Lognormal sigue siendo familia viable para severidad",3.254196648178763e-230,True
